DataTable:,LQT2iso_untreated
Date:, January 8 2026 13:55:15
Description:,Combined Primary_DataTable DataTable for group LQT2iso_untreated in plate D:\KIC Drive D\12-22-2025_Elliana\LQT2__199____LQT3__78c1__in_10uM_ROCKinhibitor_20251222173217
Channel:,Nucleus
Nucleus Enabled:,true
Nucleus Folder Name:,DAPI
Nucleus Thresholding Method:,SavitskyGolay
Nucleus Sensitivity:,100.0%
Nucleus Filtering Method:,None
Nucleus Filtering Radius:,5
Nucleus Size:,0
Channel:,Reference
Reference Enabled:,true
Reference Folder Name:,FluoVolt
Reference Thresholding Method:,SavitskyGolay
Reference Sensitivity:,100.0%
Reference Filtering Method:,None
Reference Filtering Radius:,1
Reference Size:,0
Channel:,Calcium
Calcium Enabled:,true
Calcium Folder Name:,FluoVolt
Calcium Thresholding Method:,SavitskyGolay
Calcium Sensitivity:,100.0%
Calcium Filtering Method:,None
Calcium Filtering Radius:,1
Calcium Size:,0
Channel:,Voltage
Voltage Enabled:,true
Voltage Folder Name:,FluoVolt
Voltage Thresholding Method:,SavitskyGolay
Voltage Sensitivity:,100.0%
Voltage Filtering Method:,None
Voltage Filtering Radius:,1
Voltage Size:,0
Channel:,TMRM
TMRM Enabled:,true
TMRM Folder Name:,FluoVolt
TMRM Thresholding Method:,SavitskyGolay
TMRM Sensitivity:,100.0%
TMRM Filtering Method:,None
TMRM Filtering Radius:,1
TMRM Size:,0


Legend:, Type, Name, Description, Units, Is Default Visible, Is Id Column, Is Editable

integer,id,ID of each record
double,Cell Area,Cell Area,Pixels^2,true,false,false
double,Cell Perimeter,Cell Perimeter,Pixels,true,false,false
integer,Cluster,Index of the computational cluster,,true,false,false
double,Nucleus Area,Nucleus Area,Pixels^2,true,false,false
double,Nucleus Perimeter,Nucleus Perimeter,Pixels,true,false,false
integer,Original Primary ID,The ID within the original well.,,true,false,false
integer,Timeslice,Index of the time-slice,,true,false,false
double,Voltage API F(t) (autocorrelationAtPeriod),Voltage API F(t) (autocorrelationAtPeriod),,true,false,false
double,Voltage API F(t) (autocorrelationEntropyRatio),Voltage API F(t) (autocorrelationEntropyRatio),,true,false,false
double,Voltage API F(t) (blurRadiusInGridUnits),Voltage API F(t) (blurRadiusInGridUnits),,true,false,false
double,Voltage API F(t) (blurRadiusInMsec),Voltage API F(t) (blurRadiusInMsec),,true,false,false
double,Voltage API F(t) (bpmApproximate),Voltage API F(t) (bpmApproximate),,true,false,false
double,Voltage API F(t) (cellHealth),Voltage API F(t) (cellHealth),,true,false,false
double,Voltage API F(t) (cvFullTransientAmplitude),Voltage API F(t) (cvFullTransientAmplitude),,true,false,false
double,Voltage API F(t) (cvFullTransientAmplitudeOrOne),Voltage API F(t) (cvFullTransientAmplitudeOrOne),,true,false,false
double,Voltage API F(t) (cvFullTransientBPM),Voltage API F(t) (cvFullTransientBPM),,true,false,false
double,Voltage API F(t) (cvFullTransientBPMOrOne),Voltage API F(t) (cvFullTransientBPMOrOne),,true,false,false
double,Voltage API F(t) (cvFullTransientPeriod),Voltage API F(t) (cvFullTransientPeriod),,true,false,false
double,Voltage API F(t) (cvTD50),Voltage API F(t) (cvTD50),,true,false,false
double,Voltage API F(t) (downstroke100To10Time),Voltage API F(t) (downstroke100To10Time),,true,false,false
double,Voltage API F(t) (downstroke100To20Time),Voltage API F(t) (downstroke100To20Time),,true,false,false
double,Voltage API F(t) (downstroke100To30Time),Voltage API F(t) (downstroke100To30Time),,true,false,false
double,Voltage API F(t) (downstroke100To40Time),Voltage API F(t) (downstroke100To40Time),,true,false,false
double,Voltage API F(t) (downstroke75To25Time),Voltage API F(t) (downstroke75To25Time),,true,false,false
double,Voltage API F(t) (downstroke90To10Time),Voltage API F(t) (downstroke90To10Time),,true,false,false
double,Voltage API F(t) (downstroke90To20Time),Voltage API F(t) (downstroke90To20Time),,true,false,false
double,Voltage API F(t) (downstroke90To30Time),Voltage API F(t) (downstroke90To30Time),,true,false,false
double,Voltage API F(t) (downstroke90To40Time),Voltage API F(t) (downstroke90To40Time),,true,false,false
boolean,Voltage API F(t) (hasFullTransients),Voltage API F(t) (hasFullTransients),,true,false,false
boolean,Voltage API F(t) (hasTransients),Voltage API F(t) (hasTransients),,true,false,false
boolean,Voltage API F(t) (isHealthy),Voltage API F(t) (isHealthy),,true,false,false
double,Voltage API F(t) (logSNR),Voltage API F(t) (logSNR),,true,false,false
double,Voltage API F(t) (maxFullTransientBPM),Voltage API F(t) (maxFullTransientBPM),,true,false,false
double,Voltage API F(t) (maximumPeakMaxMinRatio),Voltage API F(t) (maximumPeakMaxMinRatio),,true,false,false
double,Voltage API F(t) (meanBPMorZero),Voltage API F(t) (meanBPMorZero),,true,false,false
double,Voltage API F(t) (meanDecayTime),Voltage API F(t) (meanDecayTime),,true,false,false
double,Voltage API F(t) (meanDownstrokeNormedVelocity),Voltage API F(t) (meanDownstrokeNormedVelocity),,true,false,false
double,Voltage API F(t) (meanDownstrokeTime),Voltage API F(t) (meanDownstrokeTime),,true,false,false
double,Voltage API F(t) (meanDownstrokeVelocity),Voltage API F(t) (meanDownstrokeVelocity),,true,false,false
double,Voltage API F(t) (meanExtendedTransientPCC),Voltage API F(t) (meanExtendedTransientPCC),,true,false,false
double,Voltage API F(t) (meanFullTransientAmplitude),Voltage API F(t) (meanFullTransientAmplitude),,true,false,false
double,Voltage API F(t) (meanFullTransientAmplitudeOrZero),Voltage API F(t) (meanFullTransientAmplitudeOrZero),,true,false,false
double,Voltage API F(t) (meanFullTransientBPM),Voltage API F(t) (meanFullTransientBPM),,true,false,false
double,Voltage API F(t) (meanFullTransientPeriod),Voltage API F(t) (meanFullTransientPeriod),,true,false,false
double,Voltage API F(t) (meanMaxMinRatio),Voltage API F(t) (meanMaxMinRatio),,true,false,false
double,Voltage API F(t) (meanMaxValue),Voltage API F(t) (meanMaxValue),,true,false,false
double,Voltage API F(t) (meanMinValue),Voltage API F(t) (meanMinValue),,true,false,false
double,Voltage API F(t) (meanPaddedTransientPCC),Voltage API F(t) (meanPaddedTransientPCC),,true,false,false
double,Voltage API F(t) (meanRelativeVelocitySigma),Voltage API F(t) (meanRelativeVelocitySigma),,true,false,false
double,Voltage API F(t) (meanRiseTime),Voltage API F(t) (meanRiseTime),,true,false,false
double,Voltage API F(t) (meanTimeOnsetToPeak),Voltage API F(t) (meanTimeOnsetToPeak),,true,false,false
double,Voltage API F(t) (meanTransientIntegral),Voltage API F(t) (meanTransientIntegral),,true,false,false
double,Voltage API F(t) (meanTransientIntegralNorm),Voltage API F(t) (meanTransientIntegralNorm),,true,false,false
double,Voltage API F(t) (meanTransientSum),Voltage API F(t) (meanTransientSum),,true,false,false
double,Voltage API F(t) (meanTransientSumNorm),Voltage API F(t) (meanTransientSumNorm),,true,false,false
double,Voltage API F(t) (meanUpstrokeNormedVelocity),Voltage API F(t) (meanUpstrokeNormedVelocity),,true,false,false
double,Voltage API F(t) (meanUpstrokeTime),Voltage API F(t) (meanUpstrokeTime),,true,false,false
double,Voltage API F(t) (meanUpstrokeVelocity),Voltage API F(t) (meanUpstrokeVelocity),,true,false,false
double,Voltage API F(t) (minFullTransientBPM),Voltage API F(t) (minFullTransientBPM),,true,false,false
double,Voltage API F(t) (noise),Voltage API F(t) (noise),,true,false,false
double,Voltage API F(t) (noiseRatio),Voltage API F(t) (noiseRatio),,true,false,false
double,Voltage API F(t) (numFullTransients),Voltage API F(t) (numFullTransients),,true,false,false
double,Voltage API F(t) (numFullTransientsOrNaN),Voltage API F(t) (numFullTransientsOrNaN),,true,false,false
double,Voltage API F(t) (numTransients),Voltage API F(t) (numTransients),,true,false,false
string,Voltage API F(t) (onsetTimes),Voltage API F(t) (onsetTimes),,true,false,false
double,Voltage API F(t) (periodApproximate),Voltage API F(t) (periodApproximate),,true,false,false
double,Voltage API F(t) (sdFullTransientBPM),Voltage API F(t) (sdFullTransientBPM),,true,false,false
double,Voltage API F(t) (sdFullTransientPeriod),Voltage API F(t) (sdFullTransientPeriod),,true,false,false
double,Voltage API F(t) (signal),Voltage API F(t) (signal),,true,false,false
double,Voltage API F(t) (snr),Voltage API F(t) (snr),,true,false,false
double,Voltage API F(t) (td10),Voltage API F(t) (td10),,true,false,false
double,Voltage API F(t) (td100),Voltage API F(t) (td100),,true,false,false
double,Voltage API F(t) (td100Bazett),Voltage API F(t) (td100Bazett),,true,false,false
double,Voltage API F(t) (td100Fridericia),Voltage API F(t) (td100Fridericia),,true,false,false
double,Voltage API F(t) (td100Normalized),Voltage API F(t) (td100Normalized),,true,false,false
double,Voltage API F(t) (td10Bazett),Voltage API F(t) (td10Bazett),,true,false,false
double,Voltage API F(t) (td10Fridericia),Voltage API F(t) (td10Fridericia),,true,false,false
double,Voltage API F(t) (td10Normalized),Voltage API F(t) (td10Normalized),,true,false,false
double,Voltage API F(t) (td25),Voltage API F(t) (td25),,true,false,false
double,Voltage API F(t) (td25Bazett),Voltage API F(t) (td25Bazett),,true,false,false
double,Voltage API F(t) (td25Fridericia),Voltage API F(t) (td25Fridericia),,true,false,false
double,Voltage API F(t) (td25Normalized),Voltage API F(t) (td25Normalized),,true,false,false
double,Voltage API F(t) (td30),Voltage API F(t) (td30),,true,false,false
double,Voltage API F(t) (td3090),Voltage API F(t) (td3090),,true,false,false
double,Voltage API F(t) (td30Bazett),Voltage API F(t) (td30Bazett),,true,false,false
double,Voltage API F(t) (td30Fridericia),Voltage API F(t) (td30Fridericia),,true,false,false
double,Voltage API F(t) (td30Normalized),Voltage API F(t) (td30Normalized),,true,false,false
double,Voltage API F(t) (td50),Voltage API F(t) (td50),,true,false,false
double,Voltage API F(t) (td50Bazett),Voltage API F(t) (td50Bazett),,true,false,false
double,Voltage API F(t) (td50Fridericia),Voltage API F(t) (td50Fridericia),,true,false,false
double,Voltage API F(t) (td50Normalized),Voltage API F(t) (td50Normalized),,true,false,false
double,Voltage API F(t) (td60),Voltage API F(t) (td60),,true,false,false
double,Voltage API F(t) (td60Bazett),Voltage API F(t) (td60Bazett),,true,false,false
double,Voltage API F(t) (td60Fridericia),Voltage API F(t) (td60Fridericia),,true,false,false
