Sample,ROI,Amplitude_mean,Amplitude_std,APD50_s_mean,APD50_s_std,APD90_s_mean,APD90_s_std,APD50_90_Ratio_mean,APD50_90_Ratio_std,Upstroke_Time_s_mean,Upstroke_Time_s_std,Repolarization_Time_s_mean,Repolarization_Time_s_std
CRISPH222P_PostISO,#1 (Mono - Tx Red),0.021286894,0.00072932,0.2133125,0.017827764,0.273375,0.012494666,0.78014648,0.051509579,0.092625,0.01647574,4.4326875,2.846513018
CRISPH222P_PostISO,#2 (Mono - Tx Red),0.018627484,0.000904158,0.216133333,0.01403499,0.312933333,0.047309719,0.703187197,0.098259693,0.089466667,0.009701743,4.494133333,3.047860441
CRISPH222P_PostISO,#3 (Mono - Tx Red),0.014407816,0.000615419,0.218066667,0.016572209,0.2934,0.032806358,0.748256975,0.066751306,0.0994,0.016247198,4.6308,3.058609469
CRISPH222P_PostISO,#4 (Mono - Tx Red),0.01634813,0.000699903,0.219533333,0.012704705,0.2882,0.018544156,0.763955684,0.055740541,0.097466667,0.016659903,4.410666667,2.819145075
CRISPH222P_PostISO,#5 (Mono - Tx Red),0.01750098,0.000611651,0.22,0.015811388,0.287,0.024159194,0.769732673,0.06448375,0.104615385,0.017134461,4.988307692,2.785438337
CRISPH222P_PostISO,#6 (Mono - Tx Red),0.023160089,0.00068243,0.2245,0.015444524,0.282625,0.02207827,0.795480998,0.033174025,0.102625,0.012991664,4.7391875,3.022539224
CRISPH222P_PostISO,#7 (Mono - Tx Red),0.01795323,0.0007324,0.2276,0.022228682,0.292266667,0.023432172,0.778960016,0.044777167,0.1182,0.018621033,4.805,3.036382952
CRISPH222P_PostISO,#8 (Mono - Tx Red),0.019519879,0.000675899,0.223466667,0.018901499,0.3016,0.020642536,0.742318141,0.059576164,0.096733333,0.018402122,4.748333333,3.054976939
CRISPH222P_PostISO,#9 (Mono - Tx Red),0.016324599,0.000450389,0.2214,0.016413409,0.272733333,0.01679484,0.812219341,0.0428714,0.102066667,0.016598049,4.639466667,3.06513262
CRISPH222P_PostISO,#10 (Mono - Tx Red),0.016551778,0.000490149,0.2225625,0.016883794,0.3069375,0.042497794,0.735290555,0.092436957,0.1025625,0.01384663,4.7854375,3.008576939
CRISPH222P_PostISO001,#1 (Mono - Tx Red),0.017237442,0.00080698,0.219461538,0.01460374,0.287923077,0.020669872,0.764298404,0.052530943,0.113153846,0.017155398,5.159307692,2.92122658
CRISPH222P_PostISO001,#2 (Mono - Tx Red),0.011562724,0.000578418,0.205916667,0.010004166,0.275916667,0.040520384,0.75835079,0.09718092,0.095833333,0.012401124,4.927833333,2.801112403
CRISPH222P_PostISO001,#3 (Mono - Tx Red),0.01647067,0.000777156,0.2185,0.011016517,0.284416667,0.024362633,0.772285029,0.06190778,0.103333333,0.013706888,4.9705,2.986493216
CRISPH222P_PostISO001,#4 (Mono - Tx Red),0.017237564,0.000608937,0.217666667,0.01530498,0.2835,0.014190266,0.767429899,0.02854156,0.108333333,0.019924098,4.97125,2.992934532
CRISPH222P_PostISO001,#5 (Mono - Tx Red),0.011781946,0.000486383,0.2085,0.015240496,0.281833333,0.021535735,0.742775395,0.066403835,0.098333333,0.018504709,5.42325,2.896272718
CRISPH222P_PostISO001,#6 (Mono - Tx Red),0.011702387,0.000587465,0.210230769,0.012255297,0.294846154,0.037680336,0.720788535,0.072630208,0.103923077,0.017609001,5.183923077,2.941549803
CRISPH222P_PostISO001,#7 (Mono - Tx Red),0.01762525,0.000614545,0.207214286,0.015865679,0.293785714,0.026460939,0.709535092,0.072562543,0.102857143,0.014898927,5.073857143,2.983909358
CRISPH222P_PostISO001,#8 (Mono - Tx Red),0.019828912,0.000476112,0.214,0.012629331,0.268692308,0.017128848,0.797745981,0.042453003,0.101538462,0.013445045,5.210923077,3.012701818
CRISPH222P_PostISO001,#9 (Mono - Tx Red),0.016683863,0.000588661,0.217923077,0.014221237,0.291,0.031556827,0.753743758,0.060229086,0.111538462,0.019081472,5.287076923,3.070917953
CRISPH222P_PostISO001,#10 (Mono - Tx Red),0.011697867,0.000493955,0.214727273,0.023358471,0.264727273,0.030783408,0.812134622,0.026671305,0.106454545,0.025145034,5.136636364,3.063892598
CRISPH222P_PostISO002,#1 (Mono - Tx Red),0.011538548,0.000670023,0.20425,0.018694311,0.301,0.042842205,0.685267976,0.064063694,0.10675,0.01966596,4.9805,2.78915929
CRISPH222P_PostISO002,#2 (Mono - Tx Red),0.009650062,0.000418187,0.197846154,0.013667761,0.301,0.030700163,0.661253645,0.055549163,0.098538462,0.017159135,5.115461538,2.922356287
CRISPH222P_PostISO002,#3 (Mono - Tx Red),0.010673431,0.000568967,0.20925,0.02021307,0.2985,0.031730398,0.705091184,0.070121602,0.11,0.021320072,4.940416667,3.021143446
CRISPH222P_PostISO002,#4 (Mono - Tx Red),0.014292005,0.000564271,0.202583333,0.015017919,0.306,0.026198543,0.665463097,0.062796648,0.109166667,0.019286516,4.92375,2.960745887
